"MYCOMBO,C,80","ET_Count,N,10,0","FIRST_MyHe,C,80","FIRST_ICES,C,80","FIRST_Sear,C,80","FIRST_MyNS,C,80","FIRST_MyDi,C,80","FIRST_MyD1,C,80","FIRST_MyCo,C,80","MyCalcArea,N,19,11","HSName,C,10"
01C1_EH,2,W,01C1,01C1-2,EW,EH,NH,01C1_EH,2493.31631475,01C1E
01C2_EH,2,W,01C2,01C2-2,EW,EH,NH,01C2_EH,2493.31638488,01C2E
01C2_WH,2,W,01C2,01C2-1,EW,WH,NH,01C2_WH,2493.31635202,01C2W
01C3_EH,2,W,01C3,01C3-2,EW,EH,NH,01C3_EH,2493.3164374,01C3E
01C3_WH,2,W,01C3,01C3-1,EW,WH,NH,01C3_WH,2493.31641335,01C3W
01C4_EH,2,W,01C4,01C4-2,EW,EH,NH,01C4_EH,2493.31647229,01C4E
01C4_WH,2,W,01C4,01C4-1,EW,WH,NH,01C4_WH,2493.31645705,01C4W
01C5_EH,2,W,01C5,01C5-2,EW,EH,NH,01C5_EH,2493.31648954,01C5E
01C5_WH,2,W,01C5,01C5-1,EW,WH,NH,01C5_WH,2493.31648312,01C5W
01C6_EH,2,W,01C6,01C6-2,EW,EH,NH,01C6_EH,2493.31648915,01C6E
01C6_WH,2,W,01C6,01C6-1,EW,WH,NH,01C6_WH,2493.31649155,01C6W
01C7_EH,2,W,01C7,01C7-2,EW,EH,NH,01C7_EH,2493.31647111,01C7E
01C7_WH,2,W,01C7,01C7-1,EW,WH,NH,01C7_WH,2493.31648234,01C7W
01C8_EH,2,W,01C8,01C8-2,EW,EH,NH,01C8_EH,2493.31643543,01C8E
01C8_WH,2,W,01C8,01C8-1,EW,WH,NH,01C8_WH,2493.31645548,01C8W
01C9_EH,2,W,01C9,01C9-2,EW,EH,NH,01C9_EH,2493.31638212,01C9E
01C9_WH,2,W,01C9,01C9-1,EW,WH,NH,01C9_WH,2493.31641098,01C9W
01D0_EH,2,W,01D0,01D0-2,EW,EH,NH,01D0_EH,2493.3163112,01D0E
01D0_WH,2,W,01D0,01D0-1,EW,WH,NH,01D0_WH,2493.31634886,01D0W
