"","lat","lon","r1","R2","RECT","radian","cos","Area","sea_ratio","Area_minus_land"
"35F0E",53.25,0.75,35,"F0E","35F0E",0.929387827,0.598324601,1849370612,1,1849370612
"35F0W",53.25,0.25,35,"F0W","35F0W",0.929387827,0.598324601,1849370612,0.464,858241028
"36F0E",53.75,0.75,36,"F0E","36F0E",0.938114473,0.591309648,1827687989,1,1827687989
"36F0W",53.75,0.25,36,"F0W","36F0W",0.938114473,0.591309648,1827687989,0.959,1753372980
"36F1E",53.75,1.75,36,"F1E","36F1E",0.938114473,0.591309648,1827687989,1,1827687989
"36F1W",53.75,1.25,36,"F1W","36F1W",0.938114473,0.591309648,1827687989,1,1827687989
"36F2E",53.75,2.75,36,"F2E","36F2E",0.938114473,0.591309648,1827687989,1,1827687989
"36F2W",53.75,2.25,36,"F2W","36F2W",0.938114473,0.591309648,1827687989,1,1827687989
"36F3E",53.75,3.75,36,"F3E","36F3E",0.938114473,0.591309648,1827687989,1,1827687989
"36F3W",53.75,3.25,36,"F3W","36F3W",0.938114473,0.591309648,1827687989,1,1827687989
"36F4E",53.75,4.75,36,"F4E","36F4E",0.938114473,0.591309648,1827687989,1,1827687989
"36F4W",53.75,4.25,36,"F4W","36F4W",0.938114473,0.591309648,1827687989,1,1827687989
"36F5W",53.75,5.25,36,"F5W","36F5W",0.938114473,0.591309648,1827687989,1,1827687989
"37E9E",54.25,-0.25,37,"E9E","37E9E",0.946841119,0.584249666,1805866181,0.677,1223076307
"37F0E",54.25,0.75,37,"F0E","37F0E",0.946841119,0.584249666,1805866181,1,1805866188
"37F0W",54.25,0.25,37,"F0W","37F0W",0.946841119,0.584249666,1805866181,1,1805866200
"37F1E",54.25,1.75,37,"F1E","37F1E",0.946841119,0.584249666,1805866181,1,1805866181
"37F1W",54.25,1.25,37,"F1W","37F1W",0.946841119,0.584249666,1805866181,1,1805866181
"37F2E",54.25,2.75,37,"F2E","37F2E",0.946841119,0.584249666,1805866181,1,1805866181
"37F2W",54.25,2.25,37,"F2W","37F2W",0.946841119,0.584249666,1805866181,1,1805866181
"37F3E",54.25,3.75,37,"F3E","37F3E",0.946841119,0.584249666,1805866181,1,1805866181
"37F3W",54.25,3.25,37,"F3W","37F3W",0.946841119,0.584249666,1805866181,1,1805866181
"37F4E",54.25,4.75,37,"F4E","37F4E",0.946841119,0.584249666,1805866181,1,1805866181
"37F4W",54.25,4.25,37,"F4W","37F4W",0.946841119,0.584249666,1805866181,1,1805866181
"37F5E",54.25,5.75,37,"F5E","37F5E",0.946841119,0.584249666,1805866181,1,1805866181
"37F5W",54.25,5.25,37,"F5W","37F5W",0.946841119,0.584249666,1805866181,1,1805866181
"38E8E",54.75,-1.25,38,"E8E","38E8E",0.955567765,0.57714519,1783906850,0.453,808477372.2
"38E9E",54.75,-0.25,38,"E9E","38E9E",0.955567765,0.57714519,1783906850,1,1783906850
"38E9W",54.75,-0.75,38,"E9W","38E9W",0.955567765,0.57714519,1783906850,0.919,1639635015
"38F0E",54.75,0.75,38,"F0E","38F0E",0.955567765,0.57714519,1783906850,1,1783906850
"38F0W",54.75,0.25,38,"F0W","38F0W",0.955567765,0.57714519,1783906850,1,1783906850
"38F1E",54.75,1.75,38,"F1E","38F1E",0.955567765,0.57714519,1783906850,1,1783906850
"38F1W",54.75,1.25,38,"F1W","38F1W",0.955567765,0.57714519,1783906850,1,1783906850
"38F2E",54.75,2.75,38,"F2E","38F2E",0.955567765,0.57714519,1783906850,1,1783906850
"38F2W",54.75,2.25,38,"F2W","38F2W",0.955567765,0.57714519,1783906850,1,1783906850
"38F3E",54.75,3.75,38,"F3E","38F3E",0.955567765,0.57714519,1783906850,1,1783906850
"38F3W",54.75,3.25,38,"F3W","38F3W",0.955567765,0.57714519,1783906850,1,1783906850
"38F4E",54.75,4.75,38,"F4E","38F4E",0.955567765,0.57714519,1783906850,1,1783906850
